word,gt_snippet,whisper_snippet,folder
gonna,battery storage business secondly uh you know clearly were not gonna backward integrate into manufacturing uh electrolizers or anything like that,the battery storage business secondly clearly we re not going to backward integrate into manufacturing electrolyzes or anything like that,
gonna,than us to take advantage of that and we re gonna be just like we were on battery storage we re,than us to take advantage of that and we re going to be just like we were in battery storage,
gonna,be just like we were on battery storage we re gonna be at the vanguard we re gonna uh and we,be just like we were in battery storage we re going to be at the vanguard and this is a,
gonna,storage we re gonna be at the vanguard we re gonna uh and we re gonna this is a big strategic,like we were in battery storage we re going to be at the vanguard and this is a big strategic,
gonna,at the vanguard we re gonna uh and we re gonna this is a big strategic initiative for us and we,battery storage we re going to be at the vanguard and this is a big strategic initiative for us and,
gonna,is a big strategic initiative for us and we re gonna drive it and uh it s gonna be very important,big strategic initiative for us and we re going to drive it and it s going to be very important,
gonna,and we re gonna drive it and uh it s gonna be very important uh for this company i think not,and we re going to drive it and it s going to be very important for this company in the,
gonna,is what it is and uh so it s probably gonna take a bit to get past that before uh i,in that today there s natural gas making it you know imperative that you find a cheap electricity supply you,
gonna,our innovation um our commitment to continuous improvement and were gonna do the best we can to to create the best,innovation our commitment to continuous improvement and we re going to do the best we can to create the best,
gonna,lower and we need to see what each country is gonna do but this will be will have to be included,lower and we need to see what each country is going to do but this will have to be included,
gonna,i just have two on my side first one is gonna be on on the guidance do you still stick to,taking our questions i just had two on my side first one is on the guidance to still speak to,
gonna,of uh all our infrastructure and um we re not gonna get take i mean um wrong decisions in terms of,dive in terms of all our infrastructure we re not going to take i mean rough decisions in terms of,
gonna,that s why the the the portfolio we believe is gonna behave well and is going to be managed um or,that s why the portfolio we believe is gonna behave well behaving in a nice in a nice in a,
gonna,these particular situations and depend how long the crisis is gonna take i mean it s probably gonna take down some,these particular situations and depend how long the crisis is going to take i mean it s probably going to,
gonna,the crisis is gonna take i mean it s probably gonna take down some financial players i mean that since we,the crisis is going to take i mean it s probably going to take down some financial payers and in,
gonna,their position is and their situation um and we re gonna basically continue to monitor that as the crisis continues to,and reviewing and having conversations with them about what their position is and their situation as the crisis continues to,
gonna,there will be lumpiness as we go forward we re gonna move on to some questions on phosphate uh this one,but recognize that there will be lumpiness we re going to move on to some questions on phosphate this one,
gonna,is political and that s really going that candle is gonna get lit um here right around labor day and run,political and that s really going that candle is going to get lit here right around labor day and run,
gonna,that um your comment on carriage we know it s gonna be self funding obviously you have plans to kind of,that your comment on carriage we know it s going to be self funding i ll speak first to wgn,
gonna,t say it s down four greg i m not gonna give the exact number i ve already said that it,t say it s down four craig i m not going to give the exact number i ve already said,
gonna,re not giving guidance right i do i it s gonna be down again well tell us what july was how,not giving guidance right it s going to be down how much july was down if you would i think,
gonna,told you it was down less again i m not gonna give specific numbers uh but it july was down less,think i told you it was down less numbers but july was down less than june and june was obviously,
gonna,and flooding and those kinds of things and those are gonna be more you know temporary disruptors to businesses until they,new york and flooding and those kinds of things and those are going to be more temporary disruptors it s,
gonna,to mid fives is is where on average those are gonna be um are you nick i guess i guess i,low to mid fives is where on average those are going to be are you i guess i guess okay,
gonna,you know i think that s where if we are gonna go off campus that s where you think we will,think that s where if we are going to go off campus that s where you think we will do,
gonna,s going on now um obviously like everyone we re gonna be watching all the trends we re not heavily exposed,s going on now obviously like everyone we re gonna be watching all the trends area which we like as,
gonna,the capital the resources but you know again we re gonna probably stick to you as you you would know us,said have the capital and the resources but again we re going to probably stick to as you would know,
gonna,off so we re okay with that it s still gonna skew that way towards on an on an adjacent though,around 25 off so we re okay with that on an adjacent though and then lastly like maybe for chris,
gonna,protecting that inpatient capacity so i do think you re gonna see a little bit of that we do have to,protecting that inpatient capacity so i do think you re gonna see a little bit of that we do have,
gonna,all down the way it was early on it s gonna be much more targeted and you know i m i,it all down the way it was early on it s going to be much more targeted and you know,
gonna,and i think it s what you said you re gonna it s it s a classic you know problem that,mean i think maybe what s in your question too sort of you know are we preparing for something bigger,
gonna,crises just like the financial crisis caused the strong are gonna get stronger the weak are gonna get weaker and there,mobs but i think there s gonna be there are gonna be some more of those it may be a,
gonna,caused the strong are gonna get stronger the weak are gonna get weaker and there s different dynamics to that but,cap rates for mobs but i think there s gonna be there are gonna be some more of those it,
gonna,more more urban uh versus in suburban versus rural is gonna be a huge trend i know that that the trend,and that s fine that s a very real thing and not to say that trend s not real but,
gonna,think those strong um you know population growth centers are gonna be where you re gonna see the success and so,for mobs but i think there s gonna be there are gonna be some more of those it may be,
gonna,know population growth centers are gonna be where you re gonna see the success and so i do think you are,for mobs but i think there s gonna be there are gonna be some more of those it may be,
gonna,and i think the acuity level of hospitals is only gonna continue to climb and you re gonna see acuity level,and i think the acuity level of hospitals is only going to continue to climb and you re on and,
gonna,hospitals is only gonna continue to climb and you re gonna see acuity level with outpatient climb both on and off,level of hospitals is only going to continue to climb and you re on and off campus it s a,
gonna,about cap rates for mobs but i think there s gonna be there are gonna be some more of those it,about cap rates for mobs but i think there s gonna be there are gonna be some more of those,
gonna,mobs but i think there s gonna be there are gonna be some more of those it may be a little,mobs but i think there s gonna be there are gonna be some more of those it may be a,
gonna,all afcs but in hospitals so i think you re gonna see a more targeted approach um rather than the sort,think you re gonna see a little bit of that we do have to brace for that in terms of,
gonna,be quite as financially difficult um you know is it gonna be tough yeah just like school schools for a lot,quite as financially difficult you know is it going to be tough yeah just like schools schools for a lot,
gonna,lot of us you know with kids and it s gonna be tough you know as soon as they shut down,us you know with kids and it s going to be tough you know as soon as they shut down,
gonna,you re lucky if they re open so there s gonna be ebbs and flows as i mentioned in my remarks,lucky if they re open so there s going to be ebbs and flows as i mentioned in my remarks,
gonna,easy but it it i don t think it s gonna be as bad as it was and and i it,will be not easy but i don t think it s gonna be as bad as it was and it,
gonna,to go up but there is a pocket that s gonna be reluctant at least in the us to go back,go up pocket that s going to be reluctant at least in the u s to go back for a,
gonna,office back to you know close to normal that s gonna take a little bit of time i i think we,office back to you know close to normal that s going to take a little bit of time i think,
gonna,uh we don t know how long the office is gonna be closed uh you know we we re gonna stop,we don t know how long the office is going to be closed you know we re going to stop,
gonna,is gonna be closed uh you know we we re gonna stop uh building inventory on the daily stuff and as,office is going to be closed you know we re going to stop building inventory on the daily stuff and,
gonna,revenue s down 20 in uh 2021 that s obviously gonna have an impact on the business we don t think,taking steps toward margin accretion and as we get out of the traditional ortho business we got out of the,
gonna,impact on the business we don t think that s gonna happen but we re taking specific steps now to sit,and hey look don t think that s going to happen but we are taking specific steps now to sit,
gonna,accretion going forward uh a and and i m not gonna say it s gonna be revenue independent but we think,accretion going forward and i m not going to say it s going to be revenue independent but we think,
gonna,a and and i m not gonna say it s gonna be revenue independent but we think we can take steps,i m not going to say it s going to be revenue independent but we think we can take steps,
gonna,a at a certain revenue base that we re really gonna be able to drive margin and you know we we,at a certain revenue base that we re really going to be able to drive margin we were very clear,
gonna,a is attainable we don t know if it s gonna happen exactly on the trajectory based on what we re,think 22 is attainable know if it s going to happen exactly on the trajectory based on what we re,
gonna,the piece that actually came with your metrics acquisition is gonna stay with that and then you know what we re,the piece that actually came with your metrics acquisition is going to stay with that the 1ds program and we,
gonna,look going forward we didn t feel that there were gonna be dissynergies associated with getting out of traditional uh y,look going forward we didn t feel that there were going to be disenergies associated with getting out of traditional,
gonna,whether it s spread e across you know are we gonna see treatment centers and and are we gonna see imaging,likely to visit in you know the next 30 days the next quarter and whatnot so we ve been seeing,
gonna,are we gonna see treatment centers and and are we gonna see imaging not sure but we we feel very good,results we re seeing and as we go into you know kind of our installed base we feel very good,
gonna,the opportunity for dentists who are you know b basically gonna be dealing with the patient population that may be a,the dsos or the individual dentists are going to be doing is they re really going to be evaluating their,
gonna,you know the worst case scenario and obviously we re gonna work to improve that um but but again uh the,you know the base case and we re going to work hard to improve versus that and there is the,
gonna,uh you know the base case and and we re gonna work hard to improve versus that and there is the,you know the base case and we re going to work hard to improve versus that and there is the,
gonna,do you think about the differentiation strategy that you re gonna go forward with i know a lot of it was,do you think about the differentiation strategy that you re going to go forward with i know a lot of,
gonna,companies where we re sitting there saying hey we re gonna go sell you an omni we re gonna go sell,companies where we re sitting there saying hey we re we re going to go sell you an omni we,
gonna,we re gonna go sell you an omni we re gonna go sell you a prime and then oh by the,to go sell you an omni we re going to go sell you a prime and then oh by the,
gonna,your cerec comments to be that you re you re gonna be emphasizing suresmile principally in the gp channel or do,your experience a little bit if i could you re a you re a medtech guy and you came into,
gonna,know we we think the demand you know is it gonna gyrate a little bit as we recover from the pi,so we think that demand you know is it going to gyrate a little bit as we recover from the,
gonna,a solid number two in the space and we re gonna work toward that um so you you know can do,gave you represent you know the base case and we re going to work hard to improve versus that and,
gonna,and belief is that the clear aligner space is is gonna be a significant contributor to our aggregate growth rate over,belief is that the clear liner space is going to be a significant contributor to our aggregate growth rate over,
gonna,conditions in germany are are uh if if you were gonna go around the world are pretty good um y you,conditions in germany are if you were going to go around the world staff get more used to that and,
gonna,into sharper focus what i think uh the industry is gonna need to be and uh you know whether it gets,brought into sharper focus what i think the industry is going to need to be and whether it gets there,
gonna,three years five years um i i think it s gonna accelerate a a couple of trends i mean the first,two years three years five years i think it s going to accelerate a couple trends i mean the first,
gonna,up uh you know i don t think it s gonna happen in the in the in the immediate short term,going to pick up you know i don t think it s going to happen in the immediate short term,
gonna,it s the dso s or the individual dentists are gonna be doing is they re really gonna be evaluating their,the dsos or the individual dentists are going to be doing is they re really going to be evaluating their,
gonna,individual dentists are gonna be doing is they re really gonna be evaluating their practice more critically and i think covid,individual dentists are going to be doing is they re really going to be evaluating their practice more critically uh,
gonna,i really wanna develop within the practice and i m gonna ad uh i m gonna address that accordingly from the,procedures do i really want to develop within the practice and i m going to address that accordingly from the,
gonna,the practice and i m gonna ad uh i m gonna address that accordingly from the equipment and where i emphasize,to develop within the practice and i m going to address that accordingly from the equipment and where i emphasize,
gonna,seen with clear aligners is is something uh that s gonna go into the rest of dentistry uh y you know,it s not as if we re going to get the restructuring done and then that s it you know,
gonna,what we saw in med tech uh i think is gonna accelerate pretty dramatically i couldn t agree more thanks for,what we saw on medtech i think it s going to accelerate pretty dramatically i couldn t agree more thanks,
gonna,people hey look it s not as if we re gonna get the restructuring done and then that s it uh,people hey look it s not as if we re going to get the restructuring done and then that s,
gonna,18 months in our in our implant space that are gonna really let us be competitive the other thing that we,in our implant space that are going to really let us be competitive the other thing that we ve been,
gonna,think the the new products uh in that space are gonna be able to uh deliver for us you know over,i think the new products in that space are going to be able to deliver for us you know over,
gonna,segment of the population to say you know am i gonna go back in the next month versus do i intend,segment of the population to say you know am i going to go back in the next month versus do,
gonna,in the press release it says that there s uh gonna be a dry eye nda filing um by the end,clarification question i know in the press week that there s going to be a dry nda filing by the,
gonna,know i know later it says that it is also gonna be filed just wondering if the expectation is that you,know later it says that ac is also going to be filed if the expectation is that you would expect,
gonna,right time to look at buying assets and we re gonna maintain a very healthy leverage amount and um keep ourselves,i don t frankly no that being said that s a general statement we ve got one time leverage in,
gonna,are in the cycle so i think we re just gonna see more and more opportunities and and we ll figure,in the cycle so i think we re just going to see more and more opportunities and we ll figure,
gonna,waited till the very end of 21 um we re gonna have a hard time keeping production relatively flat um i,what else is there we re going to have to have a rig running and a one rig program i,
gonna,000 boe a day kinda level longer term we re gonna have to have a rig running and a one rig,is there we re going to have to have a rig running and a one rig program i don t,
gonna,been slowing a bit is that that too you know gonna gonna go down or in i guess to look at,been slowing a bit is that that too you know going to go down or i mean i guess we,
gonna,slowing a bit is that that too you know gonna gonna go down or in i guess to look at it,slowing a bit is that that too you know going to go down or i mean i guess we ll,
gonna,then going forward in 22 and beyond it s all gonna depend on price very good thanks guys thank you our,then going forward in 22 and beyond it s all going to depend on price very good thanks chris thank,
gonna,and and from a practical matter and we re just gonna be free cashflow positive this year and next year kind,a practical matter and we re just going to be free cash will positive this year and next year kind,
gonna,obviously there s a jump starting the program we re gonna be cashflow negative for a a period of time but,obviously there s a jumpstarting the program we re going to be cash flow negative for a period of time,
gonna,ve got a pretty supportive bank group that um is gonna be reasonable and fair and and historically that s been,is a lot of trepidation in the bank s part in general and i don t frankly no that being,
gonna,quarter i know you you talked about how it s gonna come back up a little bit here in the back,know kind of you re you know i don t think that s changed any and if we didn t,
gonna,year um we had a one rig program we were gonna average for the entire year a tiny bit of free,we had a one rig program we were going to average for the entire year a tiny bit of free,
gonna,period now when you re stopping or starting there is gonna be a bigger delta between right calculating free cashflow the,prices if all we re doing is completing the docs there s a bit of obviously a lag there between,
gonna,and the uh i guess additional capex that you re gonna be spending over the next couple of years fits into,to the two questions rule so i still answer that one but then we should give the next one the,
gonna,to 2 billion per annum so if um we re gonna invest gross more uh given the the the profile and,to 2 billion per annum so if we re going to invest more given the profile then it also includes,
gonna,s a net guidance yeah so and how are we gonna achieve is this how much costs and how much disposals,a net guidance and how we re going to achieve this with how much cost and how much disposal that,
gonna,mean i think you know consumers consume right they re gonna figure out a way uh to live their life and,at this point yeah consumers consume right they re going to figure out a way to live their life and,
gonna,levels of consumer volumes there um i think what s gonna what s gonna define the trajectory of uh volume rebound,good about healthy levels of consumer volumes there i think what s going to define the trajectory of volume rebound,
gonna,volumes there um i think what s gonna what s gonna define the trajectory of uh volume rebound from here on,levels of consumer volumes there i think what s going to define the trajectory of volume rebound from here on,
gonna,but i think getting back to historic uh volumes is gonna require that mm hmm affirmative and in terms of how,right so i think you know where when we get back to historic levels i think is is largely a,
gonna,we made a uh a judgment that we weren t gonna kick the can down the road by continuing to extend,to index on t e as we noted and so we we said job one was taking care of existing,
gonna,the road by continuing to extend those programs we were gonna we were gonna move customers if they needed to move,our underwriting and existing customer management a little bit we were going to move customers if they needed to move,
gonna,continuing to extend those programs we were gonna we were gonna move customers if they needed to move on to longer,and existing customer management a little bit we were going to move customers if they needed to move onto longer,
gonna,did early in this crisis is decide that we were gonna focus on existing customers um the visibility around large scale,one of the things you know we we were going to focus on existing customers the visibility around large scale,
gonna,that fee increase for 12 months i think we re gonna have to be sensitive to the environment but in terms,that fee increase for 12 months i think we re going to have to be sensitive to the environment but,
gonna,that all coming together to support your customers are we gonna see significant changes to the american express mobile app which,coming together to support your customers are we going to see significant changes to the american express mobile app which,
gonna,sets you know our mobile product and web product are gonna have to flex to make that expanded range of content,sets our mobile product and web product are going to have to flex to make that expanded range of content,
gonna,of our mobile product mm hmm affirmative well i m gonna have to wrap it there doug i really appreciate you,external recognition of of our mobile product well i m gonna have to wrap it there doug i really appreciate,
gonna,the applications and our sequencers and consumables and that s gonna be to the vast majority of applications what we ve,the applications and our sequencers and consumables and that s going to be true for the vast majority of applications,
gonna,of markets that we would get into directly we re gonna continue though to to enable our customers and partners to,markets that we would get into directly we re going to continue to enable our customers and partners to create,
gonna,costs and so the thinking here is that we re gonna manage grail as a as a separate division and we,and so the thinking here is that we re going to manage grail as a separate division division and we,
gonna,you know i think one of the things investor is gonna worry about is is you know uh you know concerns,business you know i think one of the things that investors are going to worry about is you know concerns,
gonna,uh a lot of ground to cover so i m gonna start by talking about your first question which is the,all right a lot of ground to cover so i m going to start by talking about question which is,
gonna,is the why now question and then sam i m gonna turn it over to you to talk uh about the,is the why now question and then sam i m going to turn it over to to use to talk,
gonna,in terms of fulfilling our mission with that i m gonna turn it over to sam for you to talk about,fulfilling our mission and with that i m going to turn it over to sam for you to talk about,
gonna,you know volumes are ramping up so initially you re gonna see a higher cost profile for the business as the,volumes are ramping up so initially you re going to see a higher cost profile for this business as the,
gonna,full year as we look forward obviously that number is gonna grow because we re gonna be ramping and launching uh,as we look forward obviously that number is going to grow because we re going to be ramping and launching,
gonna,forward obviously that number is gonna grow because we re gonna be ramping and launching uh products we re gonna be,forward obviously that number is going to grow because we re going to be ramping and launching products we re,
gonna,re gonna be ramping and launching uh products we re gonna be accelerating the commercialization efforts and building out a sales,to be ramping and launching products we re going to be accelerating the commercialization efforts and building out a sales,
gonna,and building out a sales force uh and there s gonna be continuing r d as well so you know opex,and building out a sales port and there s going to be continuing r and d as well so you,
gonna,so you know opex especially in three years there s gonna be uh you know i ve backed on dilution you,well so you know opex especially in three years is going to be you know back on dilution but let,
gonna,talked about the population efforts that all of us is gonna be starting in the back half of this year in,talked about the population efforts that all of us going to be starting in the back half of this year,
gonna,has been uh sideline to focus on on covid is gonna be kicking back up next year so as we we,nhs effort which this year is on covid is going to be kicking back up next year so we are,
gonna,we we are optimistic about where population sequencing efforts are gonna be starting into next year we ve seen good news,where a population sequencing efforts are we re going to be starting into next year we ve seen good news,
gonna,was 135 million so if you expect that that s gonna um you know be a full year worth of investment,was disclosed 135 million so if you expect that that s going to be a full year worth of investment,
gonna,you look forward kind of the galleri launches there s gonna be investments around a number of factors you know it,we look forward and as the gallery launches there s going to be investments around a number of factors it,
gonna,investments around a number of factors you know it s gonna be r d is gonna be commercial it s going,investments around a number of factors it s going to be r d it s going to be commercial it,
gonna,factors you know it s gonna be r d is gonna be commercial it s going to be market access government,s going to be r d it s going to be commercial it s going to be market access government,
gonna,and until the revenue start to scale um that s gonna be significantly diluted um so the number that i mentioned,until the revenue starts to scale and that s going to be significantly diluted to the number that i mentioned,
gonna,in this particular uh way it means that there s gonna be one you know obviously very large scale player the,involved in this particular way it means that there s going to be one obviously very large scale player the,
